Datum/Uhrzeit,Abrechnungsnummer,Typ,Bestellnummer,SKU,Beschreibung,Menge,Marketplace,Versand,Ort der Bestellung,Bundesland,Postleitzahl,Steuererhebungsmodell,Umsätze,Produktumsatzsteuer,Gutschrift für Versandkosten,Steuer auf Versandgutschrift,Gutschrift für Geschenkverpackung,Steuer auf Geschenkverpackungsgutschriften,Rabatte aus Werbeaktionen,Steuer auf Aktionsrabatte,Einbehaltene Steuer auf Marketplace,Verkaufsgebühren,Gebühren zu Versand durch Amazon,Andere Transaktionsgebühren,Andere,Gesamt
02.07.2021 07:21:14 UTC,15751614412,Bestellung,028-0793041-8790704,Fba_CAxpp_Code:ARS-DL-209_Desk-Lamp_GRAY,"ARSUK®Schreibtischlampen, Lampenfüße, Tisch- & Nachttischlampen (Schreibtischlampen, Schreibtischlamp Grau mit 27w Glühlampe)",1,amazon.de,Amazon,Zossen,,15806,MarketplaceFacilitator,"25,37","4,82","3,35","0,64",0,0,"-3,35","-0,64","-4,82","-4,53","-4,77",0,0,"16,07"
02.07.2021 09:11:40 UTC,15751614412,Bestellung,302-6152196-2219514,EU_neck&Desk_MAGNIFIER-MG11B-1,"ARSUK Vergrößerungsglas, Leselupen, LED Licht Beleuchtete Lupe Lesehilfen & Vergrößerung (Hals und Schreibtischlupe)",1,amazon.de,Amazon,GANDERKESEE,Niedersachsen,27777,MarketplaceFacilitator,"12,43","2,36",0,0,0,0,0,0,"-2,36","-2,22","-2,01",0,0,"8,20"
02.07.2021 09:16:40 UTC,15751614412,Bestellung,304-5058467-2001906,DE-S&L-FBA-1169-Nail-scissor-7cm,Nagelschere und Nagelhautschere extra fein Solingen - Extra scharf mit gebogener Schneide - Fingernagel Nail Scissors- und Nagel schere Fussnägel - n,1,amazon.de,Amazon,Zeilarn,,84367,MarketplaceFacilitator,"4,19","0,80",0,0,0,0,0,0,"-0,80","-0,40","-1,73",0,0,"2,06"
02.07.2021 10:12:48 UTC,15751614412,Bestellung,305-9130622-0511515,SFP-B0xpp_Code:80042_5inch_shipbell,"ARSUK Schiffsglocke Türklingel Messing Wand Tür Bahnhofs Garten Glocke für Schulempfang, Abendessen, Shop, Hotelservice, Dekorationen, Weihnachtsba",1,amazon.de,Verkäufer,Wien,Wien,A 1030,MarketplaceFacilitator,"24,16","4,83","23,33","4,67",0,0,0,0,"-9,50","-8,55",0,0,0,"38,94"
02.07.2021 11:28:14 UTC,15751614412,Bestellung,028-8346490-9212330,Fba_CAxpp_ARS-DL-209_Desk-Lamp_Grey,"ARSUK Schreibtischlampe, Energiesparlampe mit 27w Ersatz Tageslicht Birnen (Schreibtischlampe grau mit 27W lampe)",1,amazon.de,Amazon,Senden,,89250,MarketplaceFacilitator,"23,52","4,47",0,0,0,0,0,0,"-4,47","-4,20","-4,77",0,0,"14,55"
02.07.2021 12:22:36 UTC,15751614412,Bestellung,306-3374581-6433964,Fba_CAxpp_ARS-DL-209_Desk-Lamp_Grey,"ARSUK Schreibtischlampe, Energiesparlampe mit 27w Ersatz Tageslicht Birnen (Schreibtischlampe grau mit 27W lampe)",1,amazon.de,Amazon,Rosdorf,Niedersachsen,37124,MarketplaceFacilitator,"24,19","4,60",0,0,0,0,0,0,"-4,60","-4,32","-4,77",0,0,"15,10"
02.07.2021 13:09:38 UTC,15751614412,Bestellung,305-7640034-4402739,DE-S&L-TMI-1207-Pink-Scissor,Stoffschere Nähen Scharfe Schere Stoff-Bastelschere zum Einfädeln Kunst Heimwerken Büroarbeit Edelstahl Vintage Storch-Stil Stickschere für Sicher,1,amazon.de,Amazon,Olching,Bayern,82140,MarketplaceFacilitator,"3,35","0,64",0,0,0,0,0,0,"-0,64","-0,32","-1,73",0,0,"1,30"
02.07.2021 13:09:38 UTC,15751614412,Bestellung,305-7640034-4402739,DE-S&L-FBA-1197-Stork-Black&White,"ARSUK 10,5 cm Mehrzweck-Stickschere, Handarbeitsschere, Kreuzstich Kleine Fancy Pink & Orange Handarbeiten (Storch Schwarz & Weiß Schere)",1,amazon.de,Amazon,Olching,Bayern,82140,MarketplaceFacilitator,"3,35","0,64",0,0,0,0,0,0,"-0,64","-0,32","-1,73",0,0,"1,30"
02.07.2021 15:24:01 UTC,15751614412,Bestellung,303-8056647-1867568,DE-S&L-FBA-1169-Nail-scissor-7cm,Nagelschere und Nagelhautschere extra fein Solingen - Extra scharf mit gebogener Schneide - Fingernagel Nail Scissors- und Nagel schere Fussnägel - n,1,amazon.de,Amazon,Brunn/Wild,NÖ,3595,MarketplaceFacilitator,"4,19","0,84",0,0,0,0,0,0,"-0,84","-0,40","-1,73",0,0,"2,06"
02.07.2021 18:12:07 UTC,15751614412,Erstattung,304-4173200-4699563,BBxPP_code:ARS-GD001_2_Pair_Boot_Rack_An,"ARSUK Welly Schuhabstreifer, Stiefelknecht, Schuhbürsten, Motiv Schuhzubehör & Pflege gusseisen Eisen Booten Gestell Halter, Schuh Gestell Rahmen, S",2,amazon.de,Verkäufer,Marloffstein,Bayern,91080,,"-46,50",0,0,0,0,0,0,0,0,"5,58",0,0,0,"-40,92"
02.07.2021 18:46:49 UTC,15751614412,Bestellung,304-2227951-6891521,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Kiel,,24105,MarketplaceFacilitator,"15,29","2,90",0,0,0,0,0,0,"-2,90","-2,73","-2,66",0,0,"9,90"
02.07.2021 19:13:41 UTC,15751614412,Bestellung,306-4792690-2917917,FBA_8pcs-plastic-box-Small,"ARSUK Mini-Vorratsbehälter 8 Stück - 120ml, Mehrfarbig, Kunststoff, BPA-Frei, 5.7x5.7x3.8cm BPA-Frei",1,amazon.de,Amazon,Lingen (ems),,49809,MarketplaceFacilitator,"9,50","1,80",0,0,0,0,0,0,"-1,80","-1,70","-2,95",0,0,"4,85"
02.07.2021 21:58:15 UTC,15751614412,Bestellung,302-8490997-5615522,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Nittenau,Bayern,93149,MarketplaceFacilitator,"15,37","2,92",0,0,0,0,0,0,"-2,92","-2,74","-2,66",0,0,"9,97"
02.07.2021 22:33:31 UTC,15751614412,Bestellung,303-1520265-5511566,FBA_Purple_SprayingMop_600ml_A2xpp,ARSUK Sprühen Mopp Wasser Sprühen Bodenreiniger Fliesen Marmor Küche 600 ml Micro Fibre,1,amazon.de,Amazon,Gramatneusiedl,,2440,MarketplaceFacilitator,"11,93","2,39",0,0,0,0,0,0,"-2,39","-2,15","-3,99",0,0,"5,79"
02.07.2021 23:38:14 UTC,15751614412,Bestellung,303-7057368-7048315,DE-FBA-TMI-1302-6-Black_Tweezers,ARSUK Pinzette Lötpinzette Schrägpinzette Augenbrauenpinzette für Perfekt Präzisions Augenbrauen Zupfen Gesichts Haarentfernung Pinzette für Frau,1,amazon.de,Amazon,Emden,Niedersachsen,26721,MarketplaceFacilitator,"3,65","0,69",0,0,0,0,0,0,"-0,69","-0,65","-1,88",0,0,"1,12"
03.07.2021 02:51:17 UTC,15751614412,Bestellung,303-8017282-6249906,Fba_CAxpp_ARS-DL-209_Desk-Lamp_Grey,"ARSUK Schreibtischlampe, Energiesparlampe mit 27w Ersatz Tageslicht Birnen (Schreibtischlampe grau mit 27W lampe)",1,amazon.de,Amazon,Untergruppenbach,BW,74199,,"29,00",0,"1,66",0,0,0,0,0,0,"-4,35","-6,43",0,0,"19,88"
03.07.2021 05:32:20 UTC,15751614412,Bestellung,028-4277750-1717148,PAN_EU_TMI-1167_Beard&Mustache_Scissors,"ARSUK Bartschere, Schnurrbart Schere, Nase Haarentfernung Edelstahl Schere Geeignet zum Stutzen des Bartes, Nasen, Ohrenhaare, Schnurrbart und Körper",1,amazon.de,Amazon,Köln,NRW,50767,MarketplaceFacilitator,"5,03","0,96",0,0,0,0,0,0,"-0,96","-0,90","-1,73",0,0,"2,40"
03.07.2021 08:54:56 UTC,15751614412,Bestellung,303-0153042-2952324,DE-S&L-FBA-1169-Nail-scissor-7cm,Nagelschere und Nagelhautschere extra fein Solingen - Extra scharf mit gebogener Schneide - Fingernagel Nail Scissors- und Nagel schere Fussnägel - n,1,amazon.de,Amazon,Kierspe,Nordrhein-Westfalen,58566,MarketplaceFacilitator,"4,19","0,80",0,0,0,0,0,0,"-0,80","-0,40","-1,73",0,0,"2,06"
03.07.2021 11:41:33 UTC,15751614412,Bestellung,306-3714523-6291558,DE-FBA-TMI-1302-6-Black_Tweezers,ARSUK Pinzette Lötpinzette Schrägpinzette Augenbrauenpinzette für Perfekt Präzisions Augenbrauen Zupfen Gesichts Haarentfernung Pinzette für Frau,1,amazon.de,Amazon,Köln,,51145,MarketplaceFacilitator,"3,65","0,69",0,0,0,0,0,0,"-0,69","-0,65","-1,88",0,0,"1,12"
03.07.2021 12:27:15 UTC,15751614412,Bestellung,302-3177822-3555530,DE-S&L-TMI-1207-Pink-Scissor,Stoffschere Nähen Scharfe Schere Stoff-Bastelschere zum Einfädeln Kunst Heimwerken Büroarbeit Edelstahl Vintage Storch-Stil Stickschere für Sicher,1,amazon.de,Amazon,Bornheim,RLP,76879,MarketplaceFacilitator,"3,35","0,64","0,48","0,09",0,0,"-0,48","-0,09","-0,64","-0,32","-1,73",0,0,"1,30"
03.07.2021 14:39:32 UTC,15751614412,Bestellung,303-7132954-5157920,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Höchst,Vorarlberg,6973,MarketplaceFacilitator,"15,37","3,07",0,0,0,0,0,0,"-3,07","-2,77","-2,66",0,0,"9,94"
03.07.2021 15:03:27 UTC,15751614412,Bestellung,304-1275152-8167544,DE-S&L-FBA-1169-Nail-scissor-7cm,Nagelschere und Nagelhautschere extra fein Solingen - Extra scharf mit gebogener Schneide - Fingernagel Nail Scissors- und Nagel schere Fussnägel - n,1,amazon.de,Amazon,Bad Endbach,,35080,MarketplaceFacilitator,"4,19","0,80","1,12","0,21",0,0,"-1,12","-0,21","-0,80","-0,40","-1,73",0,0,"2,06"
03.07.2021 16:01:41 UTC,15751614412,Bestellung,306-7336496-9023533,FBA_Bx49_1187_Stork_Gold,"Mini Stickschere Retro Kran Näh Vintage antike Kreuzstich Edelstahl 10,5 cm",1,amazon.de,Amazon,Hannover,,30559,MarketplaceFacilitator,"3,35","0,64",0,0,0,0,0,0,"-0,64","-0,32","-2,52",0,0,"0,51"
03.07.2021 20:34:34 UTC,15751614412,Bestellung,303-5305071-3361148,FBA_A0xpp_Apple_peeler_Green,"ARSUK Apfelschäler, Corer, Kartoffel Obst Schäler und Cutter, Schälmaschine, Rotierend Apfel Schäler mit Saugwirkung Tasse (Apfelschäler: Grün)",1,amazon.de,Amazon,Bremen,,28215,MarketplaceFacilitator,"10,92","2,07",0,0,0,0,0,0,"-2,07","-1,95","-3,38",0,0,"5,59"
03.07.2021 20:49:16 UTC,15751614412,Bestellung,302-8408447-5293902,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK SPRAY MOP Wasser Sprühen Bodenreiniger Fliesen Marmor Küche 700 ml Micro Fibre,1,amazon.de,Amazon,Leuna,Deutschland,6237,MarketplaceFacilitator,"11,93","2,27","1,22","0,23",0,0,"-1,22","-0,23","-2,27","-2,13","-3,99",0,0,"5,81"
03.07.2021 23:49:13 UTC,15751614412,Bestellung,302-3382486-0005151,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",1,amazon.de,Amazon,Lauenau,,31867,MarketplaceFacilitator,"15,37","2,92",0,0,0,0,0,0,"-2,92","-2,74","-2,66",0,0,"9,97"
04.07.2021 07:11:53 UTC,15751614412,Bestellung,304-4902137-6976352,FBA-DxD9_Small-120ml_Containers(16pc),ARSUK 16 Stück Essen Aufbewahrungsbox Crispr 120 ml Mini Mikrowelle für Baby Kinder Kleinkind BPA-Frei,1,amazon.de,Amazon,Markt Indersdorf,Bayern,85229,MarketplaceFacilitator,"13,87","2,63",0,0,0,0,0,0,"-2,63","-2,48","-2,95",0,0,"8,44"
04.07.2021 09:03:17 UTC,15751614412,Bestellung,028-5694979-8842710,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK SPRAY MOP Wasser Sprühen Bodenreiniger Fliesen Marmor Küche 700 ml Micro Fibre,1,amazon.de,Amazon,Obermeitingen,,86836,MarketplaceFacilitator,"11,93","2,27","1,12","0,21",0,0,"-1,12","-0,21","-2,27","-2,13","-3,99",0,0,"5,81"
04.07.2021 11:35:30 UTC,15751614412,Bestellung,303-4032091-2245163,Fba_5xpp_SpeedLoader-155_TRANSP,ARSUK Airsoft Plastic 500 Count Round Speed Loader für 6 mm BB-Pellets (500 Runden-Transparent),1,amazon.de,Amazon,Düsseldorf,NRW,40225,MarketplaceFacilitator,"6,72","1,28",0,0,0,0,0,0,"-1,28","-1,20","-2,52",0,0,"3,00"
04.07.2021 13:46:20 UTC,15751614412,Bestellung,304-3509821-6961913,FBA_Dxpp_100psc_ColourMarbles,"ARSUK Glasmurmeln, Spielzeug, Deko Kugeln Durchsichtig Klare Glasmurmeln, Dekoration Glaskügelchen bunt",1,amazon.de,Amazon,Köln,Nordrhein-Westfalen,50679,MarketplaceFacilitator,"10,08","1,91",0,0,0,0,0,0,"-1,91","-1,80","-2,52",0,0,"5,76"
04.07.2021 13:46:57 UTC,15751614412,Bestellung,028-5238696-4110718,FBA_27W_Replacement_Bulb_Expp,"ARSUK Leuchtstoffröhre 27 W, Ersatz für natürliches Tageslicht / Sonneneinstrahlung, FML-Lampe, ideal für BB-DL210 [Energieklasse A+++] (27W Ersat",2,amazon.de,Amazon,Konstanz,,78467,MarketplaceFacilitator,"30,74","5,84",0,0,0,0,0,0,"-5,84","-5,48","-5,32",0,0,"19,94"
